"","Participant","Word","likert_arousal","likert_valence","StudyLanguage","Nativeness"
"598",53,"elegante","6","8","Italian","L2"
"599",6,"meschina","4","2","Italian","L2"
"600",6,"pigra","3","4","Italian","L2"
"601",6,"sleale","7","2","Italian","L2"
"602",6,"gentile","1","9","Italian","L2"
"603",6,"leale","1","9","Italian","L2"
"604",6,"elegante","4","7","Italian","L2"
"605",6,"scrupolosa","2","9","Italian","L2"
"606",6,"santo","1","9","Italian","L2"
"607",6,"inaffidabile","7","1","Italian","L2"
"608",6,"saggia","1","9","Italian","L2"
"609",6,"demone","6","4","Italian","L2"
"610",6,"indiscreta","8","2","Italian","L2"
"611",6,"cauta","1","7","Italian","L2"
"612",6,"affidabile","1","9","Italian","L2"
"613",6,"paziente","1","9","Italian","L2"
